C
command;subGroup;description;alternativeIdentifier;active;itemCategory;CF_Preço
I;295;ENGRENAGEM 1828;1828;1;PA;23
I;295;ENGRENAGEM 1834;1834;1;PA;25
I;216;PORCA 1383;1383;1;CO;45
I;295;CORPO GAV. DN 1/2" 1671;1671;1;PA;46
I;216;PREME GAV/GLOBO DN 1 1402;1402;1;CO;48
I;216;LINGUETA DE ARRASTE 1303;1303;1;CO;50
I;295;PONTEIRA FORJADA 2170;2170;1;PA;79
I;295;ALAVANCA DE MUDANCA 1471;1471;1;PA;81
I;387;MATRIZ DE FORJAR G-  661 2755;2755;1;DI;101
I;387;MATRIZ DE FORJAR G-21705 3080;3080;1;DI;104
I;296;ANEL 2271;2271;1;PA;120
I;387;MATRIZ DE FORJAR G-  724 2780;2780;1;DI;121
I;387;MATRIZ DE FORJAR G-15335 2921;2921;1;DI;124
I;100;SAE 1040 RD 1.1/4" - 31,75 MM. 4377;4377;1;OU;158
I;100;SAE 1040 RD 2? - 50,80MM 2445;2445;1;OU;171
I;387;MATRIZ DE FORJAR 2715;2715;1;DI;179
I;136;SAE 8620 H RD 1? -25,40MM 2461;2461;1;OU;184
I;144;DIN 20MNCR5 RD 3.1/2" - 88,90MM 4601;4601;1;OU;196
I;336;ACO VMO RD 160X245MM 7263;7263;1;OU;197
I;296;PISTAO DENTADO 2409;2409;1;PA;202
I;296;PISTAO DENTADO 2425;2425;1;PA;206
I;387;MATRIZ DE FORJAR 6096;6096;1;DI;209
I;388;MATRIZ DE REBARBAR R-  342 6101;6101;1;DI;210
I;336;ACO VMO RD 380X180MM 6158;6158;1;OU;211
I;295;ENGRENAGEM 8734;8734;1;PA;213
I;464;CASTELO GAV/GLOBO DN 1.1/2 E 2" 5289;5289;1;CO;219
I;146;DIN 20MNCR5 ZF7B RD 4? - 101,60MM 2472;2472;1;OU;222
I;474;CONVERSOR DE POTENCIA TIRISTHERM T6032A/125 THERMA 9396;9396;1;OU;223
I;295;ENGRENAGEM 7762;7762;1;PA;224
I;296;EIXO SETOR 7325;7325;1;PA;230
I;387;MATRIZ DE FORJAR G-  5X5 7408;7408;1;DI;232
I;494;ESMIRILHADEIRA EP-0 9553;9553;1;SE;233
I;387;MATRIZ DE FORJAR 8280;8280;1;DI;246
I;387;MATRIZ DE FORJAR 8282;8282;1;DI;247
I;336;ACO VMO RD 255X180MM 7373;7373;1;OU;248
I;296;ENGRENAGEM 7400;7400;1;PA;249
I;266;MOTOR 4CV 1725 RPM MOD 100 L MARCA WEG 9972;9972;1;OU;279
I;295;PREME GAV/GLOBO DN 1/2 E 3/4 10603;10603;1;PA;302
I;596;ACO SAE 1045 RT 600X275X64MM 10216;10216;1;OU;303
I;471;CHABOTE CONF. DES. 662 CJ I E III 10010;10010;1;OU;311
I;603;ACO SAE 4340 RD 100X145MM 10221;10221;1;OU;313
I;596;ACO SAE 1045 RD 155X160MM 9867;9867;1;OU;314
I;596;ACO SAE 1045 RT 480X255X65MM 11003;11003;1;OU;316
I;596;ACO SAE 1045 RT 280X255X30MM 11001;11001;1;OU;320
I;387;MATRIZ DE FORJAR G-23900 11077;11077;1;DI;321
