T
command;subGroup;description;alternativeIdentifier;active;itemCategory;CF_Preço
D;295;ENGRENAGEM 1828;1828;0;PA;23
D;295;ENGRENAGEM 1834;1834;0;PA;25
D;216;PORCA 1383;1383;0;CO;45
D;295;CORPO GAV. DN 1/2" 1671;1671;0;PA;46
D;216;PREME GAV/GLOBO DN 1 1402;1402;0;CO;48
D;216;LINGUETA DE ARRASTE 1303;1303;0;CO;50
D;295;PONTEIRA FORJADA 2170;2170;0;PA;79
D;295;ALAVANCA DE MUDANCA 1471;1471;0;PA;81
D;387;MATRIZ DE FORJAR G-  661 2755;2755;0;DD;101
D;387;MATRIZ DE FORJAR G-21705 3080;3080;0;DD;104
D;296;ANEL 2271;2271;0;PA;120
D;387;MATRIZ DE FORJAR G-  724 2780;2780;0;DD;121
D;387;MATRIZ DE FORJAR G-15335 2921;2921;0;DD;124
D;100;SAE 1040 RD 1.1/4" - 31,75 MM. 4377;4377;0;OU;158
D;100;SAE 1040 RD 2? - 50,80MM 2445;2445;0;OU;171
D;387;MATRIZ DE FORJAR 2715;2715;0;DD;179
D;136;SAE 8620 H RD 1? -25,40MM 2461;2461;0;OU;184
D;144;DIN 20MNCR5 RD 3.1/2" - 88,90MM 4601;4601;0;OU;196
D;336;ACO VMO RD 160X245MM 7263;7263;0;OU;197
D;296;PISTAO DENTADO 2409;2409;0;PA;202
D;296;PISTAO DENTADO 2425;2425;0;PA;206
D;387;MATRIZ DE FORJAR 6096;6096;0;DD;209
D;388;MATRIZ DE REBARBAR R-  342 6101;6101;0;DD;210
D;336;ACO VMO RD 380X180MM 6158;6158;0;OU;211
D;295;ENGRENAGEM 8734;8734;0;PA;213
D;464;CASTELO GAV/GLOBO DN 1.1/2 E 2" 5289;5289;0;CO;219
D;146;DIN 20MNCR5 ZF7B RD 4? - 101,60MM 2472;2472;0;OU;222
D;474;CONVERSOR DE POTENCIA TIRISTHERM T6032A/125 THERMA 9396;9396;0;OU;223
D;295;ENGRENAGEM 7762;7762;0;PA;224
D;296;EIXO SETOR 7325;7325;0;PA;230
D;387;MATRIZ DE FORJAR G-  5X5 7408;7408;0;DD;232
D;494;ESMIRILHADEIRA EP-0 9553;9553;0;SE;233
D;387;MATRIZ DE FORJAR 8280;8280;0;DD;246
D;387;MATRIZ DE FORJAR 8282;8282;0;DD;247
D;336;ACO VMO RD 255X180MM 7373;7373;0;OU;248
D;296;ENGRENAGEM 7400;7400;0;PA;249
D;266;MOTOR 4CV 1725 RPM MOD 100 L MARCA WEG 9972;9972;0;OU;279
D;295;PREME GAV/GLOBO DN 1/2 E 3/4 10603;10603;0;PA;302
D;596;ACO SAE 1045 RT 600X275X64MM 10216;10216;0;OU;303
D;471;CHABOTE CONF. DES. 662 CJ I E III 10010;10010;0;OU;311
D;603;ACO SAE 4340 RD 100X145MM 10221;10221;0;OU;313
D;596;ACO SAE 1045 RD 155X160MM 9867;9867;0;OU;314
D;596;ACO SAE 1045 RT 480X255X65MM 11003;11003;0;OU;316
D;596;ACO SAE 1045 RT 280X255X30MM 11001;11001;0;OU;320
D;387;MATRIZ DE FORJAR G-23900 11077;11077;0;DD;321
D;216;CORPO GAV. DN 1/2 10192;10192;0;CO;330
D;295;MUNH?O BRUTO 12599;12599;0;PA;332
D;471;CONJUNTO GAXETA CHEVRON 12391;12391;0;OU;333
D;471;ENGRENAGEM REBARBADORA 150TN 12331;12331;0;OU;348
D;296;CORPO DE ACOPLAMENTO 13239;13239;0;PA;349
D;296;CORPO DE SINCRONIZACAO 13233;13233;0;PA;351
D;295;SUPORTE 12535;12535;0;PA;354
D;336;ACO VMO RD 250X135MM 13657;13657;0;OU;355
D;388;MATRIZ DE REBARBAR R-22610 14156;14156;0;DD;367
D;295;CRUZETA 16835;16835;0;PA;384
D;336;ACO VMO RD 300X150MM 10345;10345;0;OU;394
D;240;ROLAMENTO AXIAL DE ESFERAS 51164 SIM 5840;5840;0;OU;400
D;316;GRANALHA DE ACO G-14 18963;18963;0;OU;405
D;387;MATRIZ DE FORJAR G-  5V9 2738;2738;0;DD;409
D;216;CASTELO GAV/GLOBO DN 1 802;802;0;CO;415
D;216;CORPO GAV. DN 1.1/2" 892;892;0;CO;421
D;216;CORPO GAV. DN 3/4" 920;920;0;CO;423
D;216;CORPO GLOBO DN 1 928;928;0;CO;427
D;295;ENGRENAGEM 1974;1974;0;PA;458
D;295;CORPO DE SINCRONIZADA 1595;1595;0;PA;462
D;295;CHAIN SHEAVE 1570;1570;0;PA;482
D;295;PINHAO 2140;2140;0;PA;488
D;295;ENGRENAGEM 1873;1873;0;PA;491
D;295;ENGRENAGEM 1878;1878;0;PA;493
D;295;EIXO BALANCEIRO 1777;1777;0;PA;502
D;295;EIXO BALANCEIRO 1779;1779;0;PA;503
D;295;CASTELO GAV/GLOBO DN 1 1535;1535;0;PA;511
D;295;LAGERBOLZEN 2087;2087;0;PA;513
D;295;LUVA 2092;2092;0;PA;514
D;387;MATRIZ DE FORJAR G-15311 2905;2905;0;DD;517
D;388;MATRIZ DE REBARBAR R- 1212 3391;3391;0;DD;526
D;387;MATRIZ DE FORJAR G-22202 3112;3112;0;DD;534
D;387;MATRIZ DE FORJAR 2616;2616;0;DD;540
D;387;MATRIZ DE FORJAR G-  737 2793;2793;0;DD;545
D;387;MATRIZ DE FORJAR G-15355 2936;2936;0;DD;548
D;387;MATRIZ DE FORJAR G-15359 2940;2940;0;DD;550
D;387;MATRIZ DE FORJAR G-  5Z3 2742;2742;0;DD;557
D;387;MATRIZ DE FORJAR G-15373 2953;2953;0;DD;564
D;296;ENGRENAGEM HELICOIDAL 2372;2372;0;PA;574
D;387;MATRIZ DE FORJAR G-18129 2986;2986;0;DD;579
D;101;SAE 1045 RD 3.3/4? - 95,25MM 2456;2456;0;OU;587
D;130;SAE 4320 H RD 1.3/4" - 44,45 MM 4500;4500;0;OU;591
D;464;CORPO DE VALVULA GAVETA E GLOBO DN 1.1/2" 5386;5386;0;CO;614
D;295;CORPO DE ACOPLAMENTO 8764;8764;0;PA;615
D;596;ACO SAE 1045 RD 70X250MM 9354;9354;0;OU;622
D;336;ACO VMO RT 450X400X250MM TEMP/BEN. 44-48 RC 9683;9683;0;OU;648
D;295;ENGRENAGEM 7638;7638;0;PA;649
D;295;ALAVANCA 9930;9930;0;PA;650
D;387;MATRIZ DE FORJAR G-219PP 10665;10665;0;DD;657
D;387;MATRIZ DE FORJAR G-22004 7410;7410;0;DD;662
D;216;ENGRENAGEM 1122;1122;0;CO;665
D;471;BOMBA DE OLEO LR2 TP MRV NR 12383 11190;11190;0;OU;674
D;295;ACOPLAMENTO 11604;11604;0;PA;682
D;471;BEBEDOURO ELETRICO AGUA GELADA  E NATURAL 10391;10391;0;OU;686
D;496;BUCHA DE BRONZE SAE 430B CONF CROQUI 061 - FISAME CONJ X 10329;10329;0;OU;697
D;606;ACO VH13 RD 60X150MM 10230;10230;0;OU;699
D;295;CORPO 3/4" # 1500 11353;11353;0;PA;710
D;296;ELO 250-75 13671;13671;0;PA;713
D;295;FUNDO 12292;12292;0;PA;728
D;295;ENGRENAGEM 13002;13002;0;PA;731
D;596;ACO SAE 1045 RT 700X250X38MM 11977;11977;0;OU;732
D;471;FUSO E VOLANTE PF 800 T 12095;12095;0;OU;734
D;471;TUBO GUIA SAPATA FREIO CONF DES PR 062 13627;13627;0;OU;735
D;387;MATRIZ DE FORJAR G-20606 12309;12309;0;DD;736
D;496;BUCHA DE BRONZE SAE 660 RD 240X190X100MM 13139;13139;0;OU;749
D;370;NOBREAK APC 1,2 KVA BI-VOLT (BR1200N) 13372;13372;0;OU;752
D;295;CORPO GAV. DN 1.1/2" 1645;1645;0;PA;775
D;388;MATRIZ DE REBARBAR R-15518 3557;3557;0;DD;780
D;216;EIXO 981;981;0;CO;794
D;216;CORPO GAV. DN 1.1/2" 895;895;0;CO;796
D;216;PINHAO 1352;1352;0;CO;800
D;216;PREME GAV/GLOBO DN 1.1/2 E 2 1411;1411;0;CO;808
D;295;CORPO DE ACOPLAMENTO 1590;1590;0;PA;830
D;216;TE 1454;1454;0;CO;849
D;295;ALAVANCA 1470;1470;0;PA;856
D;295;CRUZETA DAS ENGRENAGENS SATELITES 1745;1745;0;PA;860
D;295;FLANGE DE SAIDA 2061;2061;0;PA;865
D;216;ENGRENAGEM INTERMEDIARIA 1243;1243;0;CO;872
D;387;MATRIZ DE FORJAR G-  682 2763;2763;0;DD;876
D;387;MATRIZ DE FORJAR G- 1654 2836;2836;0;DD;886
D;388;MATRIZ DE REBARBAR R-  537 3228;3228;0;DD;888
D;296;ENGRENAGEM 2337;2337;0;PA;902
D;387;MATRIZ DE FORJAR G-  738 2794;2794;0;DD;914
D;296;ENGRENAGEM HELICOIDAL 2368;2368;0;PA;930
D;296;ENGRENAGEM HELICOIDAL 2377;2377;0;PA;931
D;387;MATRIZ DE FORJAR 2692;2692;0;DD;939
D;387;MATRIZ DE FORJAR 2709;2709;0;DD;949
D;321;DESMOLDANTE SINTETICO HEXODESMOLD F 6711;6711;0;OU;955
D;596;ACO SAE 1045 RD 160X180MM 6850;6850;0;OU;967
D;216;CASTELO GAV/GLOBO DN 1 6981;6981;0;CO;975
D;164;SAE 1050 NIPE 003 RD 7/8" - 22,22MM 4809;4809;0;OU;985
D;296;BEAR HOUS 9066;9066;0;PA;997
D;296;ANEL 8906;8906;0;PA;1011
D;295;ENGRENAGEM HELICOIDAL 8640;8640;0;PA;1024
D;605;ACO SAE 1020 RD 385X65MM 10227;10227;0;OU;1027
D;603;ACO SAE 4340 RD 80X90MM 10219;10219;0;OU;1032
D;295;CORPO GAV. DN 3/4" 11333;11333;0;PA;1042
D;387;MATRIZ DE FORJAR G-17301 10284;10284;0;DD;1046
D;295;COTOVELO 90? (MILANO) 11541;11541;0;PA;1063
D;562;Serv.de Solda e Travamento 11271;11271;0;SE;1072
D;471;EMBOLO DA HASTE SACADORA MATRIZ 11192;11192;0;OU;1076
D;295;MANCAL DE FUNDO 11341;11341;0;PA;1078
D;596;ACO SAE 1045 RT 260X155X125MM 10624;10624;0;OU;1079
D;471;RODA TRASEIRA HYSTER 60 COD 2076031/2076032 BIPARTIDO 9771;9771;0;OU;1086
D;295;CORPO GAV. DN 1/2" 12367;12367;0;PA;1090
D;295;CORPO GLOBO DN 1" 13506;13506;0;PA;1098
D;295;CORPO GAV. DN 3/4" 12668;12668;0;PA;1105
D;295;EIXO INTERMEDIARIO 12503;12503;0;PA;1106
D;296;PINHAO 14051;14051;0;PA;1108
D;296;ANEL SINCRONIZADOR 12966;12966;0;PA;1109
D;295;CUBO 14429;14429;0;PA;1118
D;295;COROA FORJADA 1584;1584;0;PA;1122
D;471;CHAPA ACO SAE 1045 DO ENCOSTO DA CUNHA CONF DES GUIL 043 11999;11999;0;OU;1126
D;295;TAMPA 17673;17673;0;PA;1133
D;295;EIXO 1773;1773;0;PA;1138
D;295;ENGRENAGEM CONSTANTE 1992;1992;0;PA;1147
D;295;CASTELO GAV/GLOBO DN 1.1/2 E 2" 1545;1545;0;PA;1161
D;295;OLHAL 2125;2125;0;PA;1165
D;295;CORPO DE VALVULA GAVETA E GLOBO DN 1.1/2" 1717;1717;0;PA;1172
D;295;CORPO 1/2 1735;1735;0;PA;1177
D;295;ENGRENAGEM ACION. 1988;1988;0;PA;1189
D;295;ENGRENAGEM 1926;1926;0;PA;1196
D;216;ENGRENAGEM 1160;1160;0;CO;1199
D;295;PISTAO 2146;2146;0;PA;1205
D;295;PISTAO 2150;2150;0;PA;1206
D;216;VALVULA EM Y 1467;1467;0;CO;1211
D;389;MATRIZ DE CALIBRAR C-  369 3767;3767;0;DD;1249
D;387;MATRIZ DE FORJAR G-15303 2901;2901;0;DD;1251
D;296;BUCHA DE ENCOSTO 2297;2297;0;PA;1270
D;295;TAMPA DN 1.1/2 E 2 2237;2237;0;PA;1283
D;389;MATRIZ DE CALIBRAR C-21600 3816;3816;0;DD;1285
D;387;MATRIZ DE FORJAR G-15372 2952;2952;0;DD;1287
D;101;SAE 1045 TREFILADO RD 5/8" - 15,87 MM 4397;4397;0;OU;1309
